hgnc_symbol	uniprot_symbol	nr_of_probes
UBA6	A0AVT1	2
PSMB11	A5LHX3	29
HTR3E	A5X5Y0	277
GABRR3	A8MPY1	7
KDM4E	B2RXH2	41
ADORA2A	C9JQD8	4
DNASE2	O00115	1
SGK1	O00141	116
TK2	O00142	30
LGALS9	O00182	16
TLR4	O00206	62
LGALS8	O00214	3
NDUFS8	O00217	4
TNFRSF10A	O00220	3
GRM8	O00222	27
PSMD11	O00231	29
PSMD12	O00232	29
BMPR1B	O00238	35
MEN1	O00255	105
CBX4	O00257	27
CACNB4	O00305	1
CDC7	O00311	459
PIK3CD	O00329	1966
SLC28A1	O00337	2
P2RY10	O00398	51
SLC33A1	O00400	144
PDE2A	O00408	536
EEF2K	O00418	40
PIK3C2A	O00443	14
PLK4	O00444	137
PIK3R2	O00459	15
MANBA	O00462	1
NR5A2	O00482	48
NDUFA4	O00483	6
PSMD14	O00487	29
STK25	O00506	21
BCL9	O00512	3
FAAH	O00519	1064
DDX3X	O00571	1
GABRP	O00591	377
PIR	O00625	1
PIK3C2B	O00750	49
MAN2B1	O00754	3
ACACB	O00763	2511
PDXK	O00764	2
SCD	O00767	418
CDK2AP1	O14519	17
NDUFAB1	O14561	4
CIT	O14578	32
DVL1	O14640	1
DVL2	O14641	3
KCNK3	O14649	59
ADAM10	O14672	139
PTGES	O14684	1135
RIOK3	O14730	23
MAP2K7	O14733	30
PRMT5	O14744	456
TERT	O14746	429
CHEK1	O14757	1851
GABRD	O14764	377
NRP1	O14786	28
MSTN	O14793	4
TAAR5	O14804	1
PSMA7	O14818	29
FFAR1	O14842	906
IKBKB	O14920	855
CASK	O14936	12
PLD2	O14939	126
RAB29	O14966	1
SLC27A2	O14975	2
GAK	O14976	88
XPO1	O14980	23
ATP2A1	O14983	4
KDM6B	O15054	47
PER2	O15055	40
DCLK1	O15075	19
CHUK	O15111	293
NPC1	O15118	1
AGPAT2	O15120	102
MUSK	O15146	23
MDM4	O15151	167
TRIM24	O15164	50
GNPAT	O15228	2
KMO	O15229	92
NDUFA1	O15239	4
SLC22A2	O15244	33
SLC22A1	O15245	18
MAPK13	O15264	534
SPTLC1	O15269	1
SPTLC2	O15270	1
OGT	O15294	5
ALOX15B	O15296	6
PPM1D	O15297	5
GRM6	O15303	41
PMM2	O15305	4
INPPL1	O15357	2
HDAC3	O15379	2710
BCAT2	O15382	72
TMPRSS2	O15393	3
GRIN2D	O15399	211
SLC16A3	O15427	9
ABCC3	O15438	1
ABCC4	O15439	8
ABCC5	O15440	3
RGS16	O15492	1
PLA2G10	O15496	62
CYP27B1	O15528	9
PDPK1	O15530	716
KDM6A	O15550	12
FFAR2	O15552	116
KCNN4	O15554	42
PRPF4	O43172	3
CYP26A1	O43174	169
NDUFS4	O43181	4
ADAM12	O43184	5
MLNR	O43193	258
GPR39	O43194	27
PSMD3	O43242	29
TREH	O43280	1
MAP3K13	O43283	19
DAPK3	O43293	60
ADCY6	O43306	35
MAP3K7	O43318	227
RIPK2	O43353	55
MGAM	O43451	100
SUV39H1	O43463	7
CACNA1G	O43497	368
BCL2L11	O43521	21
KCNQ3	O43525	114
KCNQ2	O43526	155
CA12	O43570	2486
DNPH1	O43598	21
GALR2	O43603	83
HCRTR1	O43613	2954
HCRTR2	O43614	3329
NDUFB5	O43674	4
NDUFB3	O43676	4
NDUFC1	O43677	4
NDUFA2	O43678	4
BUB1	O43683	7
PRKAB2	O43741	29
SLC25A20	O43772	1
DYRK3	O43781	19
SLC37A4	O43826	11
AHCYL1	O43865	3
SLC28A2	O43868	24
XPNPEP2	O43895	5
NDUFS5	O43920	4
PDE6D	O43924	137
AKR1B10	O60218	70
TMPRSS11D	O60235	44
KLK8	O60259	7
ADCY3	O60266	35
NUAK1	O60285	41
MAST3	O60307	6
PIP5K1C	O60331	13
KDM1A	O60341	404
PHLPP1	O60346	3
CACNG3	O60359	1
GRIN3B	O60391	207
OGA	O60502	82
ADCY9	O60503	35
NMT2	O60551	39
CCNT1	O60563	676
TLR2	O60603	54
UGT1A9	O60656	1
PDE8A	O60658	42
RAD1	O60671	2
JAK2	O60674	4510
PRMT3	O60678	30
ABCC9	O60706	312
ICMT	O60725	175
PLA2G6	O60733	4
HCN1	O60741	20
GALR3	O60755	39
HPGDS	O60760	166
PFKFB2	O60825	20
CACNA1F	O60840	100
BRD4	O60885	533
RAMP1	O60894	83
RAMP3	O60896	1
SMPD2	O60906	2
CTSV	O60911	132
RNASEH1	O60930	4
AOC2	O75106	4
ROCK2	O75116	1567
KDM4A	O75164	86
ADAMTS4	O75173	247
NDUFS7	O75251	4
NDUFS2	O75306	4
GLRA3	O75311	1
ALOX12B	O75342	1
PTP4A3	O75365	17
NCOR1	O75376	33
NDUFS6	O75380	4
ULK1	O75385	24
CDC45	O75419	1
NDUFB1	O75438	4
ERN1	O75460	169
NR1I2	O75469	203
PSIP1	O75475	6
NDUFS3	O75489	4
CA11	O75493	7
EED	O75530	12
ITGA10	O75578	1
LRP6	O75581	12
RPS6KA5	O75582	88
LYPLA1	O75608	19
RPS6KA4	O75676	17
PPM1B	O75688	10
STK16	O75716	28
PIK3C2G	O75747	16
SLC22A3	O75751	13
TRPA1	O75762	308
IDH1	O75874	47
RBBP9	O75884	7
GABBR2	O75899	35
DGAT1	O75907	858
SOAT2	O75908	109
CCNK	O75909	2
PAK3	O75914	37
BBOX1	O75936	26
CDKL5	O76039	12
PDE5A	O76074	1504
SLC22A5	O76082	1
PDE9A	O76083	379
TRPM2	O94759	4
DDAH1	O94760	12
STK17B	O94768	64
USP1	O94782	77
STK10	O94804	51
PRKD3	O94806	168
TPPP	O94811	2
DKK1	O94907	6
CDK14	O94921	18
GLS	O94925	67
INMT	O95050	15
CCNB2	O95067	394
KCNK2	O95069	11
S1PR2	O95136	138
NDUFB6	O95139	4
NDUFA3	O95167	4
NDUFB4	O95168	4
NDUFB8	O95169	4
NDUFB2	O95178	4
CACNA1H	O95180	228
NDUFA7	O95182	4
KIF20A	O95235	8
ABCC6	O95255	1
PDE8B	O95263	144
HTR3B	O95264	278
RASGRP1	O95267	5
TNKS	O95271	231
NDUFC2	O95298	4
NDUFA10	O95299	4
ABCB11	O95342	16
FARS2	O95363	4
LYPLA2	O95372	20
