Symbol	Ensg	Tumor_Type	Evidence	Role
ABCB1	ENSG00000085563	GBM	C	Act
ABL2	ENSG00000143322	LUSC	B	Act
ACACA	ENSG00000132142	UCEC	C	Act
ACACA	ENSG00000132142	MM	C	Act
ACAD8	ENSG00000151498	LUSC	C	Act
ACAD8	ENSG00000151498	STAD	C	Act
ACAD8	ENSG00000151498	LUAD	C	Act
ACAD8	ENSG00000151498	HNSC	C	Act
ACAD8	ENSG00000151498	GBM	C	Act
ACO1	ENSG00000122729	LGG	C	LoF
ACO1	ENSG00000122729	ESCA	C	LoF
ACO1	ENSG00000122729	RCCC	C	LoF
ACO1	ENSG00000122729	LUAD	C	LoF
ACO1	ENSG00000122729	CM	C	LoF
ACO1	ENSG00000122729	OV	C	LoF
ACO1	ENSG00000122729	COREAD	C	LoF
ACO1	ENSG00000122729	BRCA	C	LoF
ACO1	ENSG00000122729	LUSC	C	LoF
ACSL3	ENSG00000123983	CM	B	Act
ACSL6	ENSG00000164398	LUSC	B	Act
ACSL6	ENSG00000164398	ESCA	B	Act
ACSL6	ENSG00000164398	BLCA	B	Act
ACSL6	ENSG00000164398	STAD	B	Act
ACSL6	ENSG00000164398	BRCA	B	Act
ACSL6	ENSG00000164398	COREAD	B	Act
ACTB	ENSG00000075624	BRCA	C	Act
ACTB	ENSG00000075624	BLCA	C	Act
ACTB	ENSG00000075624	UCEC	C	Act
ACTB	ENSG00000075624	HNSC	C	Act
ACTB	ENSG00000075624	DLBCL	C	Act
ACTB	ENSG00000075624	MM	C	Act
ACTG1	ENSG00000267807	UCEC	A	Act
ACTG1	ENSG00000267807	CM	A	Act
ACTG1	ENSG00000184009	UCEC	A	Act
ACTG1	ENSG00000267807	LUAD	A	Act
ACTG1	ENSG00000184009	RCCC	A	Act
ACTG1	ENSG00000184009	HNSC	A	Act
ACTG1	ENSG00000184009	OV	A	Act
ACTG1	ENSG00000184009	CM	A	Act
ACTG1	ENSG00000184009	LUAD	A	Act
ACTG1	ENSG00000267807	RCCC	A	Act
ACTG1	ENSG00000267807	PRAD	A	Act
ACTG1	ENSG00000267807	CLL	A	Act
ACTG1	ENSG00000184009	CLL	A	Act
ACTG1	ENSG00000184009	PRAD	A	Act
ACTG1	ENSG00000184009	BLCA	A	Act
ACTG1	ENSG00000267807	BLCA	A	Act
ACTG1	ENSG00000267807	HNSC	A	Act
ACTG1	ENSG00000267807	OV	A	Act
ACTG2	ENSG00000163017	STAD	C	Act
ACTG2	ENSG00000163017	LUSC	C	Act
ACTG2	ENSG00000163017	CM	C	Act
ACTG2	ENSG00000163017	LUAD	C	Act
ACVR1B	ENSG00000135503	BRCA	C	LoF
ACVR1B	ENSG00000135503	COREAD	C	LoF
ACVR1B	ENSG00000135503	CM	C	LoF
ACVR1B	ENSG00000135503	PAAD	A	LoF
ACVR1B	ENSG00000135503	STAD	C	LoF
ACVR1B	ENSG00000135503	ESCA	C	LoF
ACVR1B	ENSG00000135503	LUSC	C	LoF
ACVR1B	ENSG00000135503	LUAD	C	LoF
ACVR2A	ENSG00000121989	HC	A	LoF
ACVR2A	ENSG00000121989	LUAD	A	LoF
ACVR2A	ENSG00000121989	CM	A	LoF
ACVR2A	ENSG00000121989	PAAD	A	LoF
ACVR2A	ENSG00000121989	STAD	A	LoF
ACVR2A	ENSG00000121989	HNSC	A	LoF
ADAM10	ENSG00000137845	GBM	C	Act
ADAM10	ENSG00000137845	LUAD	C	Act
ADAM10	ENSG00000137845	LUSC	C	Act
ADAM10	ENSG00000137845	ESCA	C	Act
ADAM10	ENSG00000137845	HNSC	C	Act
ADAM10	ENSG00000137845	STAD	C	Act
ADAM10	ENSG00000137845	BLCA	C	Act
ADCY1	ENSG00000164742	PRAD	C	Act
AFF4	ENSG00000072364	LUSC	B	Act
AFF4	ENSG00000072364	OV	B	Act
AFF4	ENSG00000072364	BRCA	B	Act
AFF4	ENSG00000072364	BLCA	B	Act
AFF4	ENSG00000072364	STAD	B	Act
AFF4	ENSG00000072364	LUAD	B	Act
AFF4	ENSG00000072364	CM	B	Act
AFF4	ENSG00000072364	ESCA	B	Act
AHCTF1	ENSG00000153207	CM	C	Ambiguous
AHR	ENSG00000106546	RCCC	C	Act
AHR	ENSG00000106546	ESCA	C	Act
AHR	ENSG00000106546	HNSC	C	Act
AHR	ENSG00000106546	NB	C	Act
AHR	ENSG00000106546	CM	C	Act
AHR	ENSG00000106546	UCEC	C	Act
AHR	ENSG00000106546	SCLC	C	Act
AHR	ENSG00000106546	BLCA	C	Act
AKT1	ENSG00000142208	BRCA	A	Act
AKT1	ENSG00000142208	CM	A	Act
AKT1	ENSG00000142208	MEN	A	Act
AKT1	ENSG00000142208	LUAD	A	Act
AKT1	ENSG00000142208	RCCC	A	Act
AKT1	ENSG00000142208	UCEC	A	Act
AKT1	ENSG00000142208	HNSC	A	Act
ALK	ENSG00000171094	UCEC	B	Act
ALK	ENSG00000171094	NB	A	Act
ANK3	ENSG00000151150	BRCA	C	Act
ANK3	ENSG00000151150	SCLC	C	Act
ANK3	ENSG00000151150	BLCA	C	Act
ANK3	ENSG00000151150	NB	C	Act
ANK3	ENSG00000151150	STAD	C	Act
ANK3	ENSG00000151150	CM	C	Act
ANK3	ENSG00000151150	UCEC	C	Act
ANK3	ENSG00000151150	GBM	C	Act
APAF1	ENSG00000120868	HNSC	C	LoF
APC	ENSG00000134982	HC	A	LoF
APC	ENSG00000134982	MM	A	LoF
APC	ENSG00000134982	PRAD	A	LoF
APC	ENSG00000134982	HNSC	A	LoF
APC	ENSG00000134982	BLCA	A	LoF
APC	ENSG00000134982	NSCLC	A	LoF
APC	ENSG00000134982	STAD	A	LoF
APC	ENSG00000134982	BRCA	A	LoF
APC	ENSG00000134982	COREAD	A	LoF
AQR	ENSG00000021776	PRAD	C	Act
AQR	ENSG00000021776	STAD	C	Act
AQR	ENSG00000021776	LUSC	C	Act
AQR	ENSG00000021776	CM	C	Act
AQR	ENSG00000021776	BLCA	C	Act
AQR	ENSG00000021776	BRCA	C	Act
AQR	ENSG00000021776	GBM	C	Act
ARAP3	ENSG00000120318	UCEC	C	LoF
ARFGAP1	ENSG00000101199	CM	C	Ambiguous
ARFGAP1	ENSG00000101199	HNSC	C	Ambiguous
ARFGAP1	ENSG00000101199	BLCA	C	Ambiguous
ARFGAP1	ENSG00000101199	LUAD	C	Ambiguous
ARFGAP3	ENSG00000242247	PRAD	A	LoF
ARFGEF1	ENSG00000066777	STAD	C	Ambiguous
ARFGEF2	ENSG00000124198	ESCA	C	Act
ARFGEF2	ENSG00000124198	GBM	C	Act
ARFGEF2	ENSG00000124198	BRCA	C	Act
ARFGEF2	ENSG00000124198	BLCA	C	Act
ARFGEF2	ENSG00000124198	CM	C	Act
ARFGEF2	ENSG00000124198	LGG	C	Act
ARFGEF2	ENSG00000124198	LUSC	C	Act
ARFGEF2	ENSG00000124198	HNSC	C	Act
ARFGEF2	ENSG00000124198	PRAD	C	Act
ARHGAP26	ENSG00000145819	CM	B	Act
ARHGAP26	ENSG00000145819	MM	B	Act
ARHGAP26	ENSG00000145819	ESCA	B	Act
ARHGAP26	ENSG00000145819	RCCC	B	Act
ARHGAP26	ENSG00000145819	BLCA	B	Act
ARHGAP26	ENSG00000145819	LGG	B	Act
ARHGAP26	ENSG00000145819	LUAD	B	Act
ARHGAP26	ENSG00000145819	STAD	B	Act
ARHGAP26	ENSG00000145819	THCA	B	Act
ARHGAP29	ENSG00000137962	CM	C	LoF
ARHGAP35	ENSG00000160007	GBM	C	LoF
ARHGAP35	ENSG00000160007	BRCA	C	LoF
ARHGAP35	ENSG00000160007	CLL	C	LoF
ARHGAP35	ENSG00000160007	CM	C	LoF
ARHGAP35	ENSG00000160007	UCEC	C	LoF
ARHGAP35	ENSG00000160007	HC	C	LoF
